日期:,2017-01-04,时间:,13:34:20,状态:,通过
外置偏压,电容,损耗
0,1.80527e-10,2.60915e-05
10,1.80524e-10,4.57881e-06
20,1.80522e-10,6.44599e-06
30,1.80525e-10,-3.98213e-07
40,1.80516e-10,3.82506e-05
50,1.80517e-10,2.85754e-05
60,1.80521e-10,5.43453e-05
70,1.80519e-10,6.99738e-05
80,1.80518e-10,4.41952e-05
90,1.80519e-10,4.69752e-05
100,1.8052e-10,3.86916e-05
110,1.80516e-10,2.28309e-05
120,1.80512e-10,3.385e-05
130,1.80515e-10,2.51316e-05
140,1.80508e-10,2.10196e-05
150,1.80507e-10,1.40827e-05
160,1.80509e-10,1.35649e-05
170,1.80502e-10,5.26864e-05
180,1.80499e-10,8.6752e-05
190,1.80505e-10,8.22075e-05
200,1.805e-10,5.40341e-05
